id,lora,model,nsfw,sampler,cfg,steps,seed
apple,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
astronaut,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
astronaut-mars,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
cat,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
city,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
close-up,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,9,20,2961052950
close-up-lora,true,0F1B80CFE8,false,DPM++ 2M SDE Karras,9,20,2961052950
egypt,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
fallout,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
house,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
island,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
nude-women,false,0F1B80CFE8,true,DPM++ 2M SDE Karras,7,20,2961052946
pastry,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
river,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,9,20,2961052950
stormtrooper,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
supercar,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
tattooed-women,false,0F1B80CFE8,true,DPM++ 2M SDE Karras,7,20,2961052946
vikings,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
vines,false,0F1B80CFE8,true,DPM++ 2M SDE Karras,7,20,2961052946
vines-lora,true,0F1B80CFE8,true,DPM++ 2M SDE Karras,7,20,2961052946
witch,false,0F1B80CFE8,false,DPM++ 2M SDE Karras,7,20,2961052946
